objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
Mariposas,297978,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,117615091,6.3733,6.76962,2.1925,1545,11498,thing,Mariposas,2,5,75,75,45,2020,"2,3,4,5","3,4",10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
The Market of Alturien,27800,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28691335,5.48227,5.42315,1.8776,26120,858,thing,The Market of Alturien,2,6,60,60,60,2007,"3,4,5,6","5,6",10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Marrakech,29223,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,113076965,6.32929,6.69713,1.3386,1664,6854,thing,Marrakech,2,4,30,30,30,2007,"2,3,4",4,6+,No necessary in-game text,,,,,,standalone,,,,,
Mars Attacks: Ten-Minute Takedown,170381,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,39063313,5.52194,5.68068,1.0714,17380,831,thing,Mars Attacks: Ten-Minute Takedown,2,4,10,10,10,2015,"2,3,4",4,5+,No necessary in-game text,,,,,,standalone,,,,,
Martian Rails,42929,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99506084,5.7759,7.21048,3.2,4811,990,thing,Martian Rails,2,6,180,180,120,2009,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Martinique,42244,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668382,5.74461,6.24775,1.8816,5199,1904,thing,Martinique,2,2,30,30,30,2009,2,2,8+,No necessary in-game text,,,,,,standalone,,,,,
Marvel Champions: The Card Game,285774,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,101467584,7.79364,8.11625,2.9419,42,43592,thing,Marvel Champions: The Card Game,1,4,90,90,45,2019,"1,2,3","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Marvel Champions: The Card Game – Ant-Man Hero Pack,315981,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018542,6.47524,8.34294,2.7143,0,9253,thing,Marvel Champions: The Card Game – Ant-Man Hero Pack,1,4,90,90,45,2020,"1,2,3,4","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Black Widow Hero Pack,299049,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018421,6.51148,8.07509,2.8462,0,10959,thing,Marvel Champions: The Card Game – Black Widow Hero Pack,1,4,90,90,45,2020,"1,2,3",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Captain America Hero Pack,289222,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018416,6.8756,8.427,2.4167,0,12880,thing,Marvel Champions: The Card Game – Captain America Hero Pack,1,4,90,90,45,2019,"1,2,3","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Cyclops Hero Pack,365913,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018430,5.96721,8.27632,2.5,0,4923,thing,Marvel Champions: The Card Game – Cyclops Hero Pack,1,4,90,90,45,2022,"1,2,3","1,2",12+,,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Doctor Strange Hero Pack,300878,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114759362,6.82116,8.50085,2.8571,0,11775,thing,Marvel Champions: The Card Game – Doctor Strange Hero Pack,1,4,90,90,45,2020,"1,2,3","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Drax Hero Pack,333748,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114759392,6.04836,7.99021,2.8333,0,6619,thing,Marvel Champions: The Card Game – Drax Hero Pack,1,4,90,90,45,2021,"1,2,3",2,12+,Unplayable in another language,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Gamora Hero Pack,333154,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018437,6.20765,8.23401,2.8571,0,7130,thing,Marvel Champions: The Card Game – Gamora Hero Pack,1,4,90,90,45,2021,"1,2,3","1,2",12+,Unplayable in another language,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Ironheart Hero Pack,357957,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018569,5.99809,8.39286,2.8,0,4765,thing,Marvel Champions: The Card Game – Ironheart Hero Pack,1,4,90,90,45,2022,"1,2,3","1,2",12+,Unplayable in another language,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Ms. Marvel Hero Pack,291432,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018498,6.4002,7.88909,2.7143,0,10593,thing,Marvel Champions: The Card Game – Ms. Marvel Hero Pack,1,4,90,90,45,2019,"1,2,3","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Nebula Hero Pack,340900,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018443,5.95904,7.89728,3,0,5911,thing,Marvel Champions: The Card Game – Nebula Hero Pack,1,4,90,90,45,2021,"1,2,3,4","1,2",12+,Unplayable in another language,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Nova Hero Pack,356075,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018550,5.89814,8.08419,2.8333,0,4566,thing,Marvel Champions: The Card Game – Nova Hero Pack,1,4,90,90,45,2022,"1,2,3,4",2,10+,Unplayable in another language,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Phoenix Hero Pack,366645,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018555,5.90821,8.14745,2.5,0,4625,thing,Marvel Champions: The Card Game – Phoenix Hero Pack,1,4,90,90,45,2022,"1,2,3","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Quicksilver Hero Pack,316694,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018450,6.37586,8.36593,3,0,8536,thing,Marvel Champions: The Card Game – Quicksilver Hero Pack,1,4,90,90,45,2021,"1,2,3","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Sinister Motives,347813,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114850792,6.42232,8.66297,2.8571,0,7926,thing,Marvel Champions: The Card Game – Sinister Motives,1,4,90,90,45,2022,"1,2,3","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – SP//dr Hero Pack,361485,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018530,5.92645,8.26465,3,0,4581,thing,Marvel Champions: The Card Game – SP//dr Hero Pack,1,4,90,90,45,2022,"1,2,3,4","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Spider-Ham Hero Pack,360060,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018503,5.92183,8.11268,3,0,4707,thing,Marvel Champions: The Card Game – Spider-Ham Hero Pack,1,4,90,90,45,2022,"1,2,3,4","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Star-Lord Hero Pack,330615,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018438,6.11857,7.99934,3,0,7366,thing,Marvel Champions: The Card Game – Star-Lord Hero Pack,1,4,60,60,45,2021,"1,2,3",2,12+,Unplayable in another language,,,,,,expansion,,,,,
Marvel Champions: The Card Game – The Galaxy's Most Wanted,315896,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,128993285,6.28912,7.79355,3.6818,0,9622,thing,Marvel Champions: The Card Game – The Galaxy's Most Wanted,1,4,90,90,45,2021,"1,2,3",2,12+,Unplayable in another language,,,,,,expansion,,,,,
Marvel Champions: The Card Game – The Green Goblin Scenario Pack,288794,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018464,6.72513,8.33679,2.8889,0,12368,thing,Marvel Champions: The Card Game – The Green Goblin Scenario Pack,1,4,90,90,45,2019,"1,2,3,4","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – The Hood Scenario Pack,343017,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114759373,6.04432,8.14028,2.8,0,5841,thing,Marvel Champions: The Card Game – The Hood Scenario Pack,1,4,90,90,45,2021,"1,2,3,4","1,2",12+,Unplayable in another language,,,,,,expansion,,,,,
Marvel Champions: The Card Game – The Mad Titan's Shadow,339711,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114850804,6.44091,8.53307,3.1429,0,8808,thing,Marvel Champions: The Card Game – The Mad Titan's Shadow,1,4,90,90,45,2021,"1,2,3","1,2",12+,Unplayable in another language,,,,,,expansion,,,,,
Marvel Champions: The Card Game – The Once and Future Kang Scenario Pack,314028,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018605,6.37727,8.33313,3.5556,0,9040,thing,Marvel Champions: The Card Game – The Once and Future Kang Scenario Pack,1,4,90,90,45,2020,"1,2,3",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – The Rise of Red Skull,306430,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114850785,6.90035,8.39607,2.7931,0,13615,thing,Marvel Champions: The Card Game – The Rise of Red Skull,1,4,90,90,45,2020,"1,2,3","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – The Vision Hero Pack,347812,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114759404,5.97947,7.99795,2.8,0,5653,thing,Marvel Champions: The Card Game – The Vision Hero Pack,1,4,90,90,45,2022,"1,2,3",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – The Wrecking Crew Scenario Pack,294306,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018609,6.17427,7.53991,2.3,0,9255,thing,Marvel Champions: The Card Game – The Wrecking Crew Scenario Pack,1,4,90,90,45,2020,"1,2,3",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Thor Hero Pack,295782,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018470,6.35867,7.70852,3,0,10937,thing,Marvel Champions: The Card Game – Thor Hero Pack,1,4,90,90,45,2020,"1,2,3",2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Valkyrie Hero Pack,345587,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114759414,5.80361,7.34861,3,0,5024,thing,Marvel Champions: The Card Game – Valkyrie Hero Pack,1,4,90,90,45,2021,"1,2,3","1,2",12+,Unplayable in another language,,,,,,expansion,,,,,
Marvel Champions: The Card Game – War Machine Hero Pack,342671,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018566,6.02936,8.07631,2.5,0,5637,thing,Marvel Champions: The Card Game – War Machine Hero Pack,1,4,90,90,45,2021,"1,2,3","1,2",12+,Unplayable in another language,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Wasp Hero Pack,316696,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114759382,6.13309,7.87402,3,0,7991,thing,Marvel Champions: The Card Game – Wasp Hero Pack,1,4,90,90,45,2021,"1,2,3","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel Champions: The Card Game – Wolverine Hero Pack,369039,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121018456,6.13964,8.61269,1.8333,0,5628,thing,Marvel Champions: The Card Game – Wolverine Hero Pack,1,4,90,90,45,2022,"1,2,3","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Marvel D.A.G.G.E.R.,383242,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114762812,5.7733,7.07826,2.8947,4837,1501,thing,Marvel D.A.G.G.E.R.,1,5,180,180,180,2023,"1,2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Marvel United,298047,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114123496,7.18052,7.5649,1.8231,306,26196,thing,Marvel United,1,4,40,40,40,2020,"1,2,3,4",3,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Marvel United: Doctor Strange,354553,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114123512,5.78334,7.96489,2.3333,0,3090,thing,Marvel United: Doctor Strange,1,4,40,40,40,2020,"1,2,3,4","1,3",,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Marvel United: Enter the Spider-Verse,303600,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114123506,6.29409,7.88114,2.2353,0,7852,thing,Marvel United: Enter the Spider-Verse,1,4,45,45,30,2021,"1,2,3,4",3,6+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Marvel Villainous: Infinite Power,302336,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87809956,6.13579,6.75112,2.7059,2341,12466,thing,Marvel Villainous: Infinite Power,2,4,80,80,40,2020,"2,3,4","3,4",12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Marvel: Crisis Protocol,285905,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114759540,6.25122,8.24936,3.0667,1903,2961,thing,Marvel: Crisis Protocol,2,2,45,45,45,2019,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Marvel: Rock Paper Heroes – Enter the Danger Room,359827,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,126208150,0,6.55455,0,0,61,thing,Marvel: Rock Paper Heroes – Enter the Danger Room,3,6,30,30,30,2022,,,,,,,,,,standalone,,,,,
Masons,21791,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,23686540,6.03006,6.48622,2.134,2845,3183,thing,Masons,2,4,45,45,45,2006,"2,3,4","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,
Masques,65673,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28691572,5.8709,6.46786,2.0116,3872,3365,thing,Masques,2,4,45,45,45,2010,"3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,
Massive Darkness 2: Heavenfall,317844,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114760390,5.90417,8.39229,2.5,0,3766,thing,Massive Darkness 2: Heavenfall,1,6,0,0,0,2022,"1,2,3,4","1,2",12+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
Massive Darkness: Zombicide Green Horde Crossover Set,258401,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121537530,5.59769,7.88696,2.5,0,1039,thing,Massive Darkness: Zombicide Green Horde Crossover Set,0,0,0,0,0,2018,,,,,,,,,,expansion,,,,,
Masterpiece,1501,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,117615755,5.56432,5.75456,1.4408,11053,4136,thing,Masterpiece,3,6,60,60,60,1970,"3,4,5,6",5,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Masters of Renaissance: Lorenzo il Magnifico – The Card Game,280453,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,123146136,6.29303,7.10784,2.1286,1773,3611,thing,Masters of Renaissance: Lorenzo il Magnifico – The Card Game,1,4,45,45,30,2019,"1,2,3,4",2,10+,No necessary in-game text,,,,,,standalone,,,,,
Masters of Venice,40276,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,120550797,5.74604,6.63328,3.641,5176,1133,thing,Masters of Venice,2,5,90,90,90,2009,"3,4,5",4,14+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Masters of Venice: Mini-Expansion Set,85440,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,120550847,0,7.18333,3,0,197,thing,Masters of Venice: Mini-Expansion Set,2,5,30,30,30,2010,,,,,,,,,,expansion,,,,,
"Matanikau: Battles on the Matanikau River, Guadalcanal, 1942",5768,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,117615958,5.56145,6.7089,3.375,11276,569,thing,"Matanikau: Battles on the Matanikau River, Guadalcanal, 1942",2,2,360,360,360,1993,"1,2",2,16+,,,,,,,standalone,,,,,
MATCH 5,306169,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,118867211,5.5889,6.20778,1.2222,9392,857,thing,MATCH 5,2,8,20,20,20,2021,"3,4,5,6,7,8","4,5,6,7",10+,,,,,,,standalone,,,,,
Matryoshka,192185,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,107525109,5.76568,6.56492,1.6875,4921,1979,thing,Matryoshka,3,5,20,20,20,2016,"3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,
Meadow,314491,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,113949528,7.33524,7.72326,2.2445,209,22592,thing,Meadow,1,4,90,90,60,2021,"1,2,3,4",2,10+,No necessary in-game text,,,,,,standalone,,,,,
Meadow: Downstream,355957,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,113949508,6.49796,8.24933,2.4839,0,6328,thing,Meadow: Downstream,1,4,90,90,60,2022,"1,2,3",2,10+,No necessary in-game text,,,,,,expansion,,,,,
Mechanica,268493,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,129177859,5.81154,6.71022,2.3333,4399,1842,thing,Mechanica,1,4,75,75,45,2020,"1,2,3",2,10+,No necessary in-game text,,,,,,standalone,,,,,
Mechs vs. Minions,209010,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,101467740,7.64824,7.96201,2.4515,77,24585,thing,Mechs vs. Minions,2,4,120,120,60,2016,"2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Medici,46,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668424,6.82601,7.18131,2.2229,691,9530,thing,Medici,2,6,60,60,60,1995,"4,5,6","5,6",10+,No necessary in-game text,,,,,,standalone,,,,,
Medieval Academy,154386,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,53377984,6.43247,6.93406,1.8125,1400,5764,thing,Medieval Academy,2,5,30,30,30,2014,"3,4,5","4,5",8+,No necessary in-game text,,,,,,standalone,,,,,
Medina,1261,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,27952775,6.41387,7.02101,2.777,1451,4233,thing,Medina,3,4,60,60,60,2001,"3,4",4,10+,No necessary in-game text,,,,,,standalone,,,,,
Meeples & Monsters,336851,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115916395,5.6649,6.77324,2.5455,6653,891,thing,Meeples & Monsters,2,4,60,60,45,2022,"1,2,3,4","2,3",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Meeples & Monsters: The Four Towers and Solo Expansion,367416,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,121431707,0,7.375,2,0,146,thing,Meeples & Monsters: The Four Towers and Solo Expansion,1,4,90,90,45,2022,"1,2,3,4","1,3",8+,,,,,,,expansion,,,,,
MegaCity: Oceania,266304,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,113077776,5.83787,6.73878,1.8333,4151,2202,thing,MegaCity: Oceania,2,4,60,60,45,2019,"2,3,4",4,10+,No necessary in-game text,,,,,,standalone,,,,,
Megastar,24473,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,23692413,5.47608,5.38714,1.4038,26572,1140,thing,Megastar,2,5,30,30,30,2006,"3,4,5","3,5",8+,No necessary in-game text,,,,,,standalone,,,,,
Melee,3464,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115922396,5.81426,7.28296,2.2456,4374,1376,thing,Melee,2,2,15,15,15,1977,2,2,12+,No necessary in-game text,,,,,,standalone,,,,,
Memoir '44,10630,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668830,7.338,7.53199,2.2736,205,41426,thing,Memoir '44,2,8,60,60,30,2004,2,2,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Memoir '44: Disaster at Dieppe,75260,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,126208105,5.75391,7.83287,1.9286,0,2014,thing,Memoir '44: Disaster at Dieppe,2,8,90,90,90,2010,"2,8","2,8",12+,,,,,,,expansion,,,,,
Memoir '44: Eastern Front,19245,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28264380,6.91033,7.98309,2.1694,0,9877,thing,Memoir '44: Eastern Front,2,8,60,60,30,2005,"2,4",2,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Memoir '44: Equipment Pack,125755,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28264375,5.98711,7.84221,2.5,0,3630,thing,Memoir '44: Equipment Pack,2,8,120,120,40,2012,"2,3,4","2,4",6+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Memoir '44: Hedgerow Hell,37918,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,119984104,5.84287,7.65976,2.2143,0,2243,thing,Memoir '44: Hedgerow Hell,2,8,90,90,60,2008,"1,2,3,4,5,6,7,8","2,8",10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Memoir '44: Mediterranean Theater,38320,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28264379,6.48765,7.91575,2.1667,0,6610,thing,Memoir '44: Mediterranean Theater,2,2,60,60,30,2008,2,2,6+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Memoir '44: Operation Overlord,37911,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,24708901,6.18706,7.77332,2.4902,0,4282,thing,Memoir '44: Operation Overlord,2,8,90,90,60,2008,"2,4,6,7,8",8,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Memoir '44: Pacific Theater,21384,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,111145318,6.6745,7.92785,2.1928,0,7466,thing,Memoir '44: Pacific Theater,2,8,60,60,30,2006,"1,2",2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Memoir '44: Sword of Stalingrad,59127,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,24708905,5.93869,8.03378,2.3793,0,2724,thing,Memoir '44: Sword of Stalingrad,2,8,90,90,90,2009,"2,4,6,8",8,10+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Memoir '44: Terrain Pack,19244,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114761146,6.52477,7.56541,2.1317,0,8325,thing,Memoir '44: Terrain Pack,2,2,60,60,30,2005,2,2,6+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Memoir '44: The Battles of Khalkhin-Gol,209827,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,126208103,5.77618,8.16737,2.3333,0,2016,thing,Memoir '44: The Battles of Khalkhin-Gol,2,8,90,90,30,2016,,,,,,,,,,expansion,,,,,
Memoir '44: Tigers in the Snow,41571,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,126208100,5.93605,8.03054,2.4857,0,2320,thing,Memoir '44: Tigers in the Snow,2,8,90,90,90,2009,"2,4,6,8","6,8",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Memoir '44: Winter Wars,84406,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,111145310,6.30634,8.1965,2.3333,0,5244,thing,Memoir '44: Winter Wars,2,2,90,90,45,2010,2,2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
Memoir '44: Winter/Desert Board Map,19374,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,28264384,6.40358,7.47136,1.9262,0,7196,thing,Memoir '44: Winter/Desert Board Map,2,8,60,60,30,2005,2,2,6+,No necessary in-game text,,,,,,expansion,,,,,
"Men Are from Mars, Women Are from Venus",3515,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115920921,5.40399,3.94853,1.3333,27731,441,thing,"Men Are from Mars, Women Are from Venus",4,0,60,60,60,1998,,,16+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Mental Blocks,275089,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,109049081,5.83915,6.8105,1.5385,4140,1364,thing,Mental Blocks,2,9,20,20,10,2019,"2,3,4,5,6,7","4,6",8+,No necessary in-game text,,,,,,standalone,,,,,
Mercado,244794,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,124264744,5.72851,6.54311,1.8889,5444,1536,thing,Mercado,2,4,30,30,30,2018,"2,3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,
Merchant of Venus (Second Edition),131646,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668401,6.52519,7.12661,3,1193,6886,thing,Merchant of Venus (Second Edition),1,4,240,240,120,2012,"1,2,3,4",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Merchants & Marauders,25292,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114761983,7.09142,7.39317,3.2526,384,20279,thing,Merchants & Marauders,2,4,180,180,180,2010,"2,3,4",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Merchants of Amsterdam,531,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,35151416,6.01231,6.70906,2.6339,2944,2571,thing,Merchants of Amsterdam,3,5,60,60,60,2000,"3,4,5","4,5",12+,No necessary in-game text,,,,,,standalone,,,,,
Merchants of Araby,195231,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,119984156,5.57297,6.39658,2,10396,746,thing,Merchants of Araby,2,5,90,90,45,2017,"3,4,5",4,,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Merchants of the Dark Road,300217,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,119983656,6.60389,7.36104,3.2246,1037,7609,thing,Merchants of the Dark Road,1,4,120,120,60,2022,"1,2,3,4",3,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Merchants of the Dark Road: Patron's Provisions,333935,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,119983552,5.69353,7.73756,2,0,1976,thing,Merchants of the Dark Road: Patron's Provisions,1,4,120,120,60,2022,2,2,16+,,,,,,,expansion,,,,,
Mermaid Rain,5941,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,33366697,5.60745,6.24617,2.2,8459,975,thing,Mermaid Rain,3,6,45,45,45,2003,"2,3,4,5",4,10+,No necessary in-game text,,,,,,standalone,,,,,
Mesopotamia: Cradle of Civilization,19301,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87548459,5.90856,6.48037,2.435,3604,2425,thing,Mesopotamia: Cradle of Civilization,2,4,45,45,45,2005,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Mesozooic: Triassic Mini Expansion,262199,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,128886905,0,7.5625,0,0,104,thing,Mesozooic: Triassic Mini Expansion,2,6,20,20,20,2018,,,,,,,,,,expansion,,,,,
