objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"King's Forge","126996","7.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","32483841","6.08371","6.9226","2.3103","2587","2858","thing","King's Forge","2","4","60","60","45","2015","2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Game Salute","English","2015","Second edition"
"King's Forge: Apprentices","168296","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","32483847","5.61629","7.32478","3","0","1142","thing","King's Forge: Apprentices","2","5","60","60","45","2015","","","","","","","","","","expansion","","","","","","","","","","","","Game Salute","English","2015","English edition"
"King's Forge: Glassworks","191595","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39299953","5.57888","7.4683","3","0","906","thing","King's Forge: Glassworks","2","4","60","60","45","2016","","","","","","","","","","expansion","","","","","","","","","","","","Game Salute","English","2016","English edition"
"King's Forge: Queen's Jubilee","147420","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","32483854","5.64309","7.20105","2.5","0","1184","thing","King's Forge: Queen's Jubilee","2","4","60","60","45","2015","2,3,4","3","10+","","","","","","","expansion","","","","","","","","","","","","Game Salute","English","2015","English second edition"
"Kingdomino","204583","7.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","38960832","7.1829","7.30023","1.2308","302","84767","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blue Orange (EU)","Dutch; English; French; German; Italian; Portuguese; Russian; Spanish","2016","Multilingual first edition"
"Kingsburg","27162","8","2","0","1","0","0","0","0","0","0","0","1","","","","","","31242662","6.97766","7.17141","2.4232","494","18393","thing","Kingsburg","2","5","90","90","90","2011","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games; Stratelibri","English","2011","Fantasy Flight English edition 2011"
"Kodama: The Tree Spirits","181810","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34442893","6.32441","6.66858","1.6408","1673","12267","thing","Kodama: The Tree Spirits","2","5","30","30","30","2016","2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Action Phase Games","English","2016","English first edition"
"Krosmaster Arena 2.0","203719","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158540","5.72617","7.1525","2.7143","5485","1534","thing","Krosmaster Arena 2.0","2","4","60","60","45","2016","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","CMON Global Limited","English","2016","English edition"
"Krosmaster: Quest","155827","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158841","5.70237","6.7487","3.0833","5884","2253","thing","Krosmaster: Quest","2","6","180","180","120","2016","3,4,5","4,5","6+","","","","","","","standalone","","","","","","","","","","","","Ankama; Japanime Games","English","2016","English edition"
"Lagoon: Land of Druids","152053","6.75","2","4","1","0","0","0","0","0","0","0","3","","KickStarter edition. The artwork is beautiful. It can be difficult teaching new players how the druid circle works. Pretty boring between turns.","","","","26319514","5.74867","6.20026","2.7273","5134","3377","thing","Lagoon: Land of Druids","1","4","60","60","60","2014","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","35","USD","","","","","1","","","","Three Hares Games","English","2014","English first edition"
"Legendary Encounters: A Firefly Deck Building Game","195571","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","36450456","6.23853","7.09185","2.5526","1950","4823","thing","Legendary Encounters: A Firefly Deck Building Game","1","5","90","90","45","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Upper Deck Entertainment","English","2016","English edition"
"Legendary Encounters: A Predator Deck Building Game","174570","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","31071961","6.54583","7.42614","2.675","1146","5905","thing","Legendary Encounters: A Predator Deck Building Game","1","5","45","45","45","2015","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Upper Deck Entertainment","English","2015","English edition"
"Legends of Andor","127398","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","29979163","6.87596","7.10062","2.7614","626","35297","thing","Legends of Andor","2","4","90","90","60","2015","1,2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","KOSMOS","English","2015","English second edition"
"Lewis & Clark","140620","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","26570194","7.19168","7.44441","3.3243","295","19688","thing","Lewis & Clark: The Expedition","1","5","120","120","120","2014","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Asmodee; Ludonaute","English","2014","English first edition, first printing"
"Libertalia","125618","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","31242679","6.88466","7.11149","2.234","618","15053","thing","Libertalia","2","6","60","60","40","2012","3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Marabunta","English; French","2012","English/French first edition"
"Lift it! Deluxe","132497","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158861","5.70264","6.18419","1.2571","5882","1835","thing","Lift it!","1","8","30","30","30","2015","2,3,4,5,6,7,8","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","The Op Games","English","2015","English edition"
"Longhorn","148290","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38637297","5.96506","6.53274","1.7705","3204","2775","thing","Longhorn","2","2","15","15","15","2013","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blue Orange (EU); Blue Orange Games","Dutch; English; French; German; Italian; Portuguese; Spanish","2013","Multilingual first edition"
"The Lord of the Rings: The Fellowship of the Ring Deck-Building Game","127127","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39300125","6.02032","6.84","2.1351","2894","2901","thing","The Lord of the Rings: The Fellowship of the Ring Deck-Building Game","2","5","30","30","30","2013","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Cryptozoic Entertainment","English","2013","English edition"
"The Lord of the Rings: The Return of the King Deck-Building Game","152510","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","39300163","5.76123","7.03194","2.1176","4976","1424","thing","The Lord of the Rings: The Return of the King Deck-Building Game","2","5","45","45","45","2014","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Cryptozoic Entertainment","English","2014","English edition"
"The Lord of the Rings: The Two Towers Deck-Building Game","142555","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","26552063","5.80214","6.88746","2.1786","4490","1635","thing","The Lord of the Rings: The Two Towers Deck-Building Game","2","5","45","45","30","2013","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Cryptozoic Entertainment","English","2013","English edition"
"Lords of Scotland","67888","7.5","1","0","1","0","0","0","0","0","0","0","1","","","","","","33428881","6.09234","6.75741","1.9252","2548","3493","thing","Lords of Scotland","2","5","35","35","35","2015","2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2015","English second edition"
"Lords of Waterdeep","110327","8.5","1","4","1","0","0","0","0","0","0","0","3","","","","","","28632353","7.58885","7.73184","2.4519","90","71777","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Wizards of the Coast","English","2012","English edition"
"Lords of Waterdeep: Scoundrels of Skullport","134342","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","28632366","7.8023","8.20724","2.651","0","34468","thing","Lords of Waterdeep: Scoundrels of Skullport","2","6","60","60","60","2013","2,3,4,5,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Wizards of the Coast","English","2013","English edition"
"Lords of Xidit","156566","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","29563342","6.66209","7.08058","2.6351","941","9478","thing","Lords of Xidit","3","5","90","90","90","2014","4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Libellud","English","2014","English edition"
"Lost Cities","50","8.3","0","0","1","0","0","0","0","0","0","0","3","","","","","","34255794","7.14352","7.24759","1.4758","338","71053","thing","Lost Cities","2","2","30","30","30","2015","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","English","2015","English edition 2015"
"Lost Cities: The Board Game","42487","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","35647270","6.37322","6.80008","1.7268","1550","7659","thing","Lost Cities: The Board Game","2","4","60","60","30","2015","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","KOSMOS","English","2015","English edition 2015"
"Lotus","198525","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38960834","6.15614","6.66985","1.451","2267","5524","thing","Lotus","2","4","30","30","30","2016","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Renegade Game Studios","English","2016","English first edition"
"Love Letter","129622","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","28632616","7.12376","7.2251","1.1841","351","113835","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group","English","2012","English edition 2012 (clamshell packaging)"
"M.U.L.E. The Board Game","182619","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","47347482","5.68229","6.54171","2.6207","6256","1112","thing","M.U.L.E. The Board Game","3","4","120","120","90","2015","3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Lautapelit.fi","English","2015","English edition"
"Mage Knight Board Game","96848","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","29808656","7.84881","8.08181","4.367","35","46549","thing","Mage Knight Board Game","1","4","240","240","60","2015","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","WizKids (I)","English","2015","English edition, eighth printing"
"Magic: The Gathering – Arena of the Planeswalkers","167698","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38960716","5.83155","6.15112","2.3592","4199","11615","thing","Magic: The Gathering – Arena of the Planeswalkers","2","5","60","60","60","2015","2,3,4,5","2,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Hasbro; Wizards of the Coast","English","2015","English first edition"
"Maharani","118402","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","26319612","5.83709","6.57145","2","4158","2378","thing","Maharani","2","4","40","40","40","2012","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","Dutch; English; French; German; Spanish","2012","Multilingual first edition"
"Maharani: Two-Colored Center Column Tiles","132433","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","26319617","5.5402","6.84703","2.3333","0","490","thing","Maharani: Two-Colored Center Column Tiles","2","4","40","40","40","2012","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Queen Games","Dutch; English; French; German; Spanish","2012","Multilingual edition"
"Maharani: Wild Card Tiles","132432","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","26319621","5.53308","6.88235","1.6667","0","465","thing","Maharani: Wild Card Tiles","2","4","40","40","40","2012","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Queen Games","Dutch; English; French; German; Spanish","2012","Multilingual edition"
"Martian Dice","99875","3","2","0","1","0","0","0","0","0","0","0","1","","","","","","27570725","5.88804","6.12424","1.0658","3742","5456","thing","Martian Dice","2","99","10","10","10","2011","2,3,4,5","3","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Tasty Minstrel Games","English","2011","English first edition"
"Mascarade","139030","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","29391485","6.34258","6.56061","1.5257","1635","17382","thing","Mascarade","2","13","30","30","30","2013","4,5,6,7,8,9,10,11","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Repos Production","English","2013","English first edition"
"Medieval Academy","154386","6.5","0","0","1","0","0","0","0","0","0","0","2","","","","","","29391871","6.43267","6.93398","1.8125","1400","5767","thing","Medieval Academy","2","5","30","30","30","2015","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blue Cocker Games; IELLO","English","2015","English edition"
"Mice and Mystics","124708","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","28632609","6.97378","7.21983","2.7316","499","40780","thing","Mice and Mystics","1","4","90","90","60","2012","1,2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Plaid Hat Games","English","2012","English first edition"
"Mice and Mystics: Downwood Tales","159458","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50135666","6.22983","8.12117","3","0","7258","thing","Mice and Mystics: Downwood Tales","1","4","90","90","90","2014","1,2,3,4","2,4","6+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Plaid Hat Games","English","2014","English edition"
"Mice and Mystics: Heart of Glorm","144777","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50135671","6.35421","7.86544","2.7647","0","10473","thing","Mice and Mystics: Heart of Glorm","1","4","90","90","60","2013","1,2,3,4","2,4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Plaid Hat Games","English","2013","English edition"
"The Mind","244992","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54372291","6.6205","6.74325","1.0802","1004","61410","thing","The Mind","2","4","20","20","20","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mission: Red Planet (Second Edition)","176920","10","1","0","1","0","0","0","0","0","0","0","1","","","","","","33824683","7.08299","7.39697","2.1986","395","15520","thing","Mission: Red Planet (Second/Third Edition)","2","6","90","90","45","2015","3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2015","English edition"
"Morels","122298","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","26719553","6.66673","6.98528","1.7375","933","18036","thing","Morels","2","2","30","30","30","2013","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Two Lanterns Games","English","2013","English first edition, second printing"
"Mysterium","181304","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60086624","7.06612","7.20595","1.893","412","77305","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystic Vale","194607","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","36450483","6.94266","7.24358","2.2632","544","17122","thing","Mystic Vale","2","4","45","45","45","2016","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group","English","2016","English edition"
"Mystic Vale: Vale of Magic","207591","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158651","6.31104","7.62697","2.2143","0","5081","thing","Mystic Vale: Vale of Magic","2","4","60","60","45","2016","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Alderac Entertainment Group","English","2016","English edition"
"Nemesis","167355","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48941535","7.95323","8.25922","3.4817","22","44955","thing","Nemesis","1","5","180","180","90","2019","1,2,3,4,5","4,5","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Awaken Realms; Rebel Sp. z o.o.","Polish","2019","Polish edition"
"Nemesis: Aftermath & Void Seeders","256377","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","66457051","6.31204","8.43567","3.3333","0","7264","thing","Nemesis: Aftermath & Void Seeders","1","5","180","180","90","2019","1,2,3,4,5","1,2","14+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Nemesis: Carnomorphs","245845","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","66457053","6.55534","8.49271","3.4286","0","11034","thing","Nemesis: Carnomorphs","1","5","120","120","60","2019","1,2,3,4,5","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Nemesis: Medic Character Expansion","245846","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","66457057","6.33474","8.55036","3.1667","0","7449","thing","Nemesis: Medic Character Expansion","1","5","180","180","90","2021","2,3,4,5","4","18+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Nemesis: Untold Stories #1","275277","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","66457058","5.99789","8.17184","3.6667","0","6077","thing","Nemesis: Untold Stories #1","1","5","180","180","90","2019","1,2,3,4,5","2,3","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"New York 1901","174660","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","29689106","6.44116","6.78636","2.0502","1378","10790","thing","New York 1901","2","4","60","60","30","2015","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blue Orange Games","English; French","2015","English/French first edition"
"Niagara","13308","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158732","6.23666","6.45423","1.8363","1954","11193","thing","Niagara","3","5","45","45","30","2005","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Zoch Verlag","English; German","2005","English/German edition 2005 with SdJ"
"No Thanks!","12942","8.5","1","0","1","0","0","0","0","0","0","0","1","","","","","","34255073","6.95384","7.08015","1.1316","526","42346","thing","No Thanks!","3","7","20","20","20","2005","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","AMIGO; Z-Man Games","English","2005","Z-Man English first edition"
"Notre Dame: 10th Anniversary","213984","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48891949","6.55709","7.53056","2.5062","0","5563","thing","Notre Dame: 10th Anniversary","2","5","75","75","45","2017","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","alea; Ravensburger","English; French; German","2017","Multilingual edition"
"Nyctophobia","249505","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54372260","5.66211","6.04563","1.75","6715","2802","thing","Nyctophobia","3","5","45","45","30","2018","3,4,5","3,4,5","5–18","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Nyet!","1107","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","34255143","6.22904","6.77971","1.902","1991","4815","thing","Nyet!","2","5","60","60","60","2015","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","IELLO","English","2015","English edition"
"Oceanos","192860","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158740","6.2786","6.7887","1.8289","1817","6029","thing","Oceanos","2","5","45","45","30","2016","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","IELLO","English","2016","English first edition"
"Okanagan: Valley of the Lakes","230089","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","47346756","5.78098","6.57529","2.1053","4741","1359","thing","Okanagan: Valley of the Lakes","2","4","45","45","45","2017","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Matagot","Dutch; English; French; Spanish","2017","Dutch/English/French/Spanish edition"
"Onirim (Second Edition)","156336","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158661","6.74826","7.04258","1.6042","794","15110","thing","Onirim (Second Edition)","1","2","15","15","15","2014","1,2","1","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2014","Z-Man English edition"
"Onitama","160477","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34826702","7.14782","7.34526","1.6497","333","36391","thing","Onitama","2","2","20","20","15","2016","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Arcane Wonders; conception; DICE TOWER ESSENTIALS","English","2016","English edition"
"Orcs Orcs Orcs","165477","6","1","0","1","0","0","0","0","0","0","0","1","","","","","","26413500","5.68106","6.34315","2","6288","1757","thing","Orcs Orcs Orcs","2","4","45","45","45","2014","2,3,4","3","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","English","2014","English-only edition"
"Orient Express","193291","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","47346859","5.57311","6.95576","2.6","10386","307","thing","Orient Express","2","5","90","90","45","2017","2,3,4","3,4","","","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2017","English edition"
"Orléans","164928","0","1","0","1","0","0","0","0","0","0","0","2","","","","","","31242673","7.86555","8.05282","3.0223","34","40517","thing","Orléans","2","5","90","90","90","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","dlp games","English; German","2014","English/German first edition"
"Outback","244082","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60306321","5.5987","6.26474","1.7","8853","601","thing","Outback","2","4","45","45","30","2018","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pagoda","154003","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38960333","5.97371","6.63113","1.8769","3162","2875","thing","Pagoda","2","2","45","45","30","2014","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group","English","2014","English-only edition"
"Pairs","152237","4","5","0","1","0","0","0","0","0","0","0","1","","","","","","27773778","5.91385","6.3296","1.1346","3567","6229","thing","Pairs","2","8","15","15","15","2014","3,4,5,6,7,8","5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Cheapass Games","English","2014","Commonwealth Deck"
"Pandemic","30549","7.5","5","0","1","0","0","0","0","0","0","0","1","","","","","","18593230","7.42128","7.52785","2.3973","158","212475","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2008","English second edition 2008"
"Patchwork","163412","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","28484600","7.48257","7.58962","1.6021","136","112389","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Mayfair Games","English","2014","English first edition"
"Photosynthesis","218603","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","47346834","6.79548","6.95636","2.256","727","40970","thing","Photosynthesis","2","4","60","60","30","2017","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blue Orange (EU)","Dutch; English; French; German; Italian; Portuguese; Russian; Spanish","2017","Multilingual edition"
"Planes","156976","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","47347471","5.59995","5.89845","1.9667","8787","1599","thing","Planes","2","4","30","30","30","2014","2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group","English","2014","English edition"
"Plato 3000","121764","0","0","2","1","0","0","0","0","0","0","0","3","","","","","","26319598","5.66353","6.45704","1.5789","6683","964","thing","Plato 3000","2","4","30","30","30","2012","2,3","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Cambridge Games Factory","English","2012","English edition"
"Polarity","380","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","10512271","5.8609","6.35063","1.6814","3957","2469","thing","Polarity","2","4","20","20","20","2006","2,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ferti; Temple Games, Inc.","Dutch; English; French; German","2006","Ferti multilingual edition"
"Porta Nigra","172385","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54372296","6.36574","7.16405","2.9909","1575","4329","thing","Porta Nigra","2","4","120","120","75","2015","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Power Grid","2651","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","10717748","7.69157","7.8044","3.251","67","82841","thing","Power Grid","2","6","120","120","120","2009","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2009","English edition 2009"
"The Princes of Florence","555","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","28632536","7.22532","7.5015","3.2419","272","17818","thing","The Princes of Florence","1","5","100","100","75","2010","3,4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2010","Rio Grande edition 2010"
"Puerto Rico","3076","7.5","0","0","1","0","0","0","0","0","0","0","1","","","","","","10717756","7.7664","7.90777","3.2684","48","83014","thing","Puerto Rico","3","5","150","150","90","2003","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2003","English second edition 2003"
"The Quacks of Quedlinburg: The Herb Witches","269259","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","70142283","7.37057","8.01201","2.0109","0","26994","thing","The Quacks of Quedlinburg: The Herb Witches","2","5","45","45","45","2019","2,3,4,5","3,4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","NorthStar Game Studio","English","2019","English second edition"
"Quadropolis","176396","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158828","6.95363","7.22085","2.1978","529","18432","thing","Quadropolis","2","4","60","60","30","2016","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Days of Wonder","English","2016","English edition"
"The Quest for El Dorado","217372","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","47347510","7.51397","7.70074","1.943","121","46058","thing","The Quest for El Dorado","2","4","60","60","30","2017","2,3,4","2,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Ravensburger","English","2017","English first edition"
"Qwixx","131260","8.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","35099790","6.6546","6.87119","1.1086","958","29007","thing","Qwixx","2","5","15","15","15","2014","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Gamewright","English; Spanish","2014","English/Spanish second edition"
"Raiders of the North Sea","170042","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","47346675","7.51316","7.73065","2.5673","122","33157","thing","Raiders of the North Sea","2","4","80","80","60","2017","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Garphill Games; Renegade Game Studios","English","2017","English second edition"
"Rattle, Battle, Grab the Loot","176606","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","48891903","5.66123","6.00991","2.5","6740","3085","thing","Rattle, Battle, Grab the Loot","2","5","60","60","45","2015","2,3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Portal Games","English","2015","English edition"
